no,group,name,tip_label,hpv_genome,genus,group_number,hpv_name,group_genome,color,shape,size
120,rag,Met2825_rag_skin_NODE_423_length_7787_cov_9.055872_2,Met2825_rag_skin_NODE_423_length_7787_cov_9.055872_2,0,rag,47,0,0,red,21,1.4
121,pave,HPV47,HPV47-L1|lcl|Human,47,beta,1,betapapillomavirus_1,beta_HPV47,beta,21,1
122,pave,HPV5,HPV5-L1|lcl|Human,5,beta,1,betapapillomavirus_1,beta_HPV5,beta,21,1
123,pave,HPV143,HPV143-L1|lcl|Human,143,beta,1,betapapillomavirus_1,beta_HPV143,beta,21,1
124,pave,HPV36,HPV36-L1|lcl|Human,36,beta,1,betapapillomavirus_1,beta_HPV36,beta,21,1
125,pave,HPV99,HPV99-L1|lcl|Human,99,beta,1,betapapillomavirus_1,beta_HPV99,beta,21,1
126,pave,HPV8,HPV8-L1|lcl|Human,8,beta,1,betapapillomavirus_1,beta_HPV8,beta,21,1
127,pave,HPV105,HPV105-L1|lcl|Human,105,beta,1,betapapillomavirus_1,beta_HPV105,beta,21,1
128,pave,HPV12,HPV12-L1|lcl|Human,12,beta,1,betapapillomavirus_1,beta_HPV12,beta,21,1
129,pave,HPV206,HPV206-L1|lcl|Human,206,beta,NA,betapapillomavirus_NA,beta_HPV206,beta,21,1
130,pave,HPV92,HPV92-L1|lcl|Human,92,beta,4,betapapillomavirus_4,beta_HPV92,beta,21,1
131,pave,HPV150,HPV150-L1|lcl|Human,150,beta,5,betapapillomavirus_5,beta_HPV150,beta,21,1
132,pave,HPV185,HPV185-L1|lcl|Human,185,beta,5,betapapillomavirus_5,beta_HPV185,beta,21,1
133,pave,HPV96,HPV96-L1|lcl|Human,96,beta,5,betapapillomavirus_5,beta_HPV96,beta,21,1
134,pave,HPV104,HPV104-L1|lcl|Human,104,beta,2,betapapillomavirus_2,beta_HPV104,beta,21,1
135,rag,Met2859_rag_skin_NODE_303_length_7456_cov_154.455074_2,Met2859_rag_skin_NODE_303_length_7456_cov_154.455074_2,0,rag,104,0,0,red,21,1.4
136,pave,HPV209,HPV209-L1|lcl|Human,209,beta,NA,betapapillomavirus_NA,beta_HPV209,beta,21,1
137,pave,HPV107,HPV107-L1|lcl|Human,107,beta,2,betapapillomavirus_2,beta_HPV107,beta,21,1
138,rag,Met2825_rag_skin_NODE_443_length_7478_cov_16.773003_1,Met2825_rag_skin_NODE_443_length_7478_cov_16.773003_1,0,rag,107,0,0,red,21,1.4
139,pave,HPV38,HPV38-L1|lcl|Human,38,beta,2,betapapillomavirus_2,beta_HPV38,beta,21,1
140,pave,HPV100,HPV100-L1|lcl|Human,100,beta,2,betapapillomavirus_2,beta_HPV100,beta,21,1
141,pave,HPV151,HPV151-L1|lcl|Human,151,beta,2,betapapillomavirus_2,beta_HPV151,beta,21,1
142,pave,HPV22,HPV22-L1|lcl|Human,22,beta,2,betapapillomavirus_2,beta_HPV22,beta,21,1
143,pave,HPV23,HPV23-L1|lcl|Human,23,beta,2,betapapillomavirus_2,beta_HPV23,beta,21,1
144,pave,HPV120,HPV120-L1|lcl|Human,120,beta,2,betapapillomavirus_2,beta_HPV120,beta,21,1
145,pave,HPV110,HPV110-L1|lcl|Human,110,beta,2,betapapillomavirus_2,beta_HPV110,beta,21,1
146,pave,HPV80,HPV80-L1|lcl|Human,80,beta,2,betapapillomavirus_2,beta_HPV80,beta,21,1
147,pave,HPV15,HPV15-L1|lcl|Human,15,beta,2,betapapillomavirus_2,beta_HPV15,beta,21,1
148,pave,HPV182,HPV182-L1|lcl|Human,182,beta,2,betapapillomavirus_2,beta_HPV182,beta,21,1
149,pave,HPV17,HPV17-L1|lcl|Human,17,beta,2,betapapillomavirus_2,beta_HPV17,beta,21,1
150,pave,HPV37,HPV37-L1|lcl|Human,37,beta,2,betapapillomavirus_2,beta_HPV37,beta,21,1
151,pave,HPV227,HPV227-L1|lcl|Human,227,beta,NA,betapapillomavirus_NA,beta_HPV227,beta,21,1
152,pave,HPV122,HPV122-L1|lcl|Human,122,beta,2,betapapillomavirus_2,beta_HPV122,beta,21,1
153,pave,HPV111,HPV111-L1|lcl|Human,111,beta,2,betapapillomavirus_2,beta_HPV111,beta,21,1
154,pave,HPV113,HPV113-L1|lcl|Human,113,beta,2,betapapillomavirus_2,beta_HPV113,beta,21,1
155,rag,Met4151_rag_skin_NODE_280_length_7472_cov_32.962788_1,Met4151_rag_skin_NODE_280_length_7472_cov_32.962788_1,0,rag,113,0,0,red,21,1.4
156,pave,HPV9,HPV9-L1|lcl|Human,9,beta,2,betapapillomavirus_2,beta_HPV9,beta,21,1
157,pave,HPV159,HPV159-L1|lcl|Human,159,beta,2,betapapillomavirus_2,beta_HPV159,beta,21,1
158,pave,HPV145,HPV145-L1|lcl|Human,145,beta,2,betapapillomavirus_2,beta_HPV145,beta,21,1
159,pave,HPV174,HPV174-L1|lcl|Human,174,beta,2,betapapillomavirus_2,beta_HPV174,beta,21,1
160,pave,HPV115,HPV115-L1|lcl|Human,115,beta,3,betapapillomavirus_3,beta_HPV115,beta,21,1
161,pave,HPV49,HPV49-L1|lcl|Human,49,beta,3,betapapillomavirus_3,beta_HPV49,beta,21,1
162,pave,HPV76,HPV76-L1|lcl|Human,76,beta,3,betapapillomavirus_3,beta_HPV76,beta,21,1
163,pave,HPV75,HPV75-L1|lcl|Human,75,beta,3,betapapillomavirus_3,beta_HPV75,beta,21,1
164,rag,Met2859_rag_skin_NODE_277_length_7592_cov_2542.870240_6,Met2859_rag_skin_NODE_277_length_7592_cov_2542.870240_6,0,rag,75,0,0,red,21,1.4
165,pave,HPV71,HPV71-L1|lcl|Human,71,alpha,14,alphapapillomavirus_14,alpha_HPV71,alpha,21,1
166,pave,HPV106,HPV106-L1|lcl|Human,106,alpha,14,alphapapillomavirus_14,alpha_HPV106,alpha,21,1
167,pave,HPV90,HPV90-L1|lcl|Human,90,alpha,14,alphapapillomavirus_14,alpha_HPV90,alpha,21,1
168,pave,HPV27,HPV27-L1|lcl|Human,27,alpha,4,alphapapillomavirus_4,alpha_HPV27,alpha,21,1
169,pave,HPV57,HPV57-L1|lcl|Human,57,alpha,4,alphapapillomavirus_4,alpha_HPV57,alpha,21,1
170,pave,HPV2,HPV2-L1|lcl|Human,2,alpha,4,alphapapillomavirus_4,alpha_HPV2,alpha,21,1
171,pave,HPV86,HPV86-L1|lcl|Human,86,alpha,3,alphapapillomavirus_3,alpha_HPV86,alpha,21,1
172,pave,HPV87,HPV87-L1|lcl|Human,87,alpha,3,alphapapillomavirus_3,alpha_HPV87,alpha,21,1
173,pave,HPV114,HPV114-L1|lcl|Human,114,alpha,3,alphapapillomavirus_3,alpha_HPV114,alpha,21,1
174,pave,HPV84,HPV84-L1|lcl|Human,84,alpha,3,alphapapillomavirus_3,alpha_HPV84,alpha,21,1
175,pave,HPV62,HPV62-L1|lcl|Human,62,alpha,3,alphapapillomavirus_3,alpha_HPV62,alpha,21,1
176,pave,HPV81,HPV81-L1|lcl|Human,81,alpha,3,alphapapillomavirus_3,alpha_HPV81,alpha,21,1
177,pave,HPV72,HPV72-L1|lcl|Human,72,alpha,3,alphapapillomavirus_3,alpha_HPV72,alpha,21,1
178,pave,HPV61,HPV61-L1|lcl|Human,61,alpha,3,alphapapillomavirus_3,alpha_HPV61,alpha,21,1
179,pave,HPV89,HPV89-L1|lcl|Human,89,alpha,3,alphapapillomavirus_3,alpha_HPV89,alpha,21,1
180,pave,HPV83,HPV83-L1|lcl|Human,83,alpha,3,alphapapillomavirus_3,alpha_HPV83,alpha,21,1
181,pave,HPV102,HPV102-L1|lcl|Human,102,alpha,3,alphapapillomavirus_3,alpha_HPV102,alpha,21,1
182,pave,HPV59,HPV59-L1|lcl|Human,59,alpha,7,alphapapillomavirus_7,alpha_HPV59,alpha,21,1
183,pave,HPV18,HPV18-L1|lcl|Human,18,alpha,7,alphapapillomavirus_7,alpha_HPV18,alpha,21,1
184,pave,HPV45,HPV45-L1|lcl|Human,45,alpha,7,alphapapillomavirus_7,alpha_HPV45,alpha,21,1
185,pave,HPV97,HPV97-L1|lcl|Human,97,alpha,7,alphapapillomavirus_7,alpha_HPV97,alpha,21,1
186,pave,HPV85,HPV85-L1|lcl|Human,85,alpha,7,alphapapillomavirus_7,alpha_HPV85,alpha,21,1
187,pave,HPV70,HPV70-L1|lcl|Human,70,alpha,7,alphapapillomavirus_7,alpha_HPV70,alpha,21,1
188,pave,HPV68,HPV68-L1|lcl|Human,68,alpha,7,alphapapillomavirus_7,alpha_HPV68,alpha,21,1
189,pave,HPV39,HPV39-L1|lcl|Human,39,alpha,7,alphapapillomavirus_7,alpha_HPV39,alpha,21,1
190,pave,HPV77,HPV77-L1|lcl|Human,77,alpha,2,alphapapillomavirus_2,alpha_HPV77,alpha,21,1
191,pave,HPV29,HPV29-L1|lcl|Human,29,alpha,2,alphapapillomavirus_2,alpha_HPV29,alpha,21,1
192,pave,HPV117,HPV117-L1|lcl|Human,117,alpha,2,alphapapillomavirus_2,alpha_HPV117,alpha,21,1
193,pave,HPV10,HPV10-L1|lcl|Human,10,alpha,2,alphapapillomavirus_2,alpha_HPV10,alpha,21,1
194,pave,HPV94,HPV94-L1|lcl|Human,94,alpha,2,alphapapillomavirus_2,alpha_HPV94,alpha,21,1
195,pave,HPV28,HPV28-L1|lcl|Human,28,alpha,2,alphapapillomavirus_2,alpha_HPV28,alpha,21,1
196,rag,Met2825_rag_skin_NODE_407_length_8030_cov_208.787962_5,Met2825_rag_skin_NODE_407_length_8030_cov_208.787962_5,0,rag,28,0,0,red,21,1.4
197,rag,Met2823_rag_skin_NODE_158_length_7969_cov_10.926459_5,Met2823_rag_skin_NODE_158_length_7969_cov_10.926459_5,0,rag,28,0,0,red,21,1.4
198,pave,HPV125,HPV125-L1|lcl|Human,125,alpha,2,alphapapillomavirus_2,alpha_HPV125,alpha,21,1
199,pave,HPV3,HPV3-L1|lcl|Human,3,alpha,2,alphapapillomavirus_2,alpha_HPV3,alpha,21,1
200,pave,HPV78,HPV78-L1|lcl|Human,78,alpha,2,alphapapillomavirus_2,alpha_HPV78,alpha,21,1
201,pave,HPV160,HPV160-L1|lcl|Human,160,alpha,2,alphapapillomavirus_2,alpha_HPV160,alpha,21,1
202,pave,HPV56,HPV56-L1|lcl|Human,56,alpha,6,alphapapillomavirus_6,alpha_HPV56,alpha,21,1
203,pave,HPV66,HPV66-L1|lcl|Human,66,alpha,7,alphapapillomavirus_7,alpha_HPV66,alpha,21,1
204,pave,HPV53,HPV53-L1|lcl|Human,53,alpha,6,alphapapillomavirus_6,alpha_HPV53,alpha,21,1
205,pave,HPV30,HPV30-L1|lcl|Human,30,alpha,6,alphapapillomavirus_6,alpha_HPV30,alpha,21,1
206,pave,HPV51,HPV51-L1|lcl|Human,51,alpha,5,alphapapillomavirus_5,alpha_HPV51,alpha,21,1
207,pave,HPV82,HPV82-L1|lcl|Human,82,alpha,6,alphapapillomavirus_6,alpha_HPV82,alpha,21,1
208,pave,HPV69,HPV69-L1|lcl|Human,69,alpha,5,alphapapillomavirus_5,alpha_HPV69,alpha,21,1
209,pave,HPV26,HPV26-L1|lcl|Human,26,alpha,5,alphapapillomavirus_5,alpha_HPV26,alpha,21,1
210,pave,HPV7,HPV7-L1|lcl|Human,7,alpha,8,alphapapillomavirus_8,alpha_HPV7,alpha,21,1
211,pave,HPV40,HPV40-L1|lcl|Human,40,alpha,8,alphapapillomavirus_8,alpha_HPV40,alpha,21,1
212,pave,HPV91,HPV91-L1|lcl|Human,91,alpha,8,alphapapillomavirus_8,alpha_HPV91,alpha,21,1
213,pave,HPV43,HPV43-L1|lcl|Human,43,alpha,8,alphapapillomavirus_8,alpha_HPV43,alpha,21,1
214,pave,HPV54,HPV54-L1|lcl|Human,54,alpha,13,alphapapillomavirus_13,alpha_HPV54,alpha,21,1
215,pave,HPV42,HPV42-L1|lcl|Human,42,alpha,1,alphapapillomavirus_1,alpha_HPV42,alpha,21,1
216,pave,HPV32,HPV32-L1|lcl|Human,32,alpha,1,alphapapillomavirus_1,alpha_HPV32,alpha,21,1
217,pave,HPV177,HPV177-L1|lcl|Human,177,alpha,7,alphapapillomavirus_7,alpha_HPV177,alpha,21,1
218,pave,HPV73,HPV73-L1|lcl|Human,73,alpha,11,alphapapillomavirus_11,alpha_HPV73,alpha,21,1
219,pave,HPV34,HPV34-L1|lcl|Human,34,alpha,11,alphapapillomavirus_11,alpha_HPV34,alpha,21,1
220,pave,HPV52,HPV52-L1|lcl|Human,52,alpha,9,alphapapillomavirus_9,alpha_HPV52,alpha,21,1
221,pave,HPV67,HPV67-L1|lcl|Human,67,alpha,9,alphapapillomavirus_9,alpha_HPV67,alpha,21,1
222,pave,HPV33,HPV33-L1|lcl|Human,33,alpha,9,alphapapillomavirus_9,alpha_HPV33,alpha,21,1
223,pave,HPV58,HPV58-L1|lcl|Human,58,alpha,9,alphapapillomavirus_9,alpha_HPV58,alpha,21,1
224,pave,HPV31,HPV31-L1|lcl|Human,31,alpha,9,alphapapillomavirus_9,alpha_HPV31,alpha,21,1
225,pave,HPV16,HPV16-L1|lcl|Human,16,alpha,9,alphapapillomavirus_9,alpha_HPV16,alpha,21,1
226,pave,HPV35,HPV35-L1|lcl|Human,35,alpha,9,alphapapillomavirus_9,alpha_HPV35,alpha,21,1
227,pave,HPV6,HPV6-L1|lcl|Human,6,alpha,10,alphapapillomavirus_10,alpha_HPV6,alpha,21,1
228,pave,HPV11,HPV11-L1|lcl|Human,11,alpha,10,alphapapillomavirus_10,alpha_HPV11,alpha,21,1
229,pave,HPV13,HPV13-L1|lcl|Human,13,alpha,10,alphapapillomavirus_10,alpha_HPV13,alpha,21,1
230,pave,HPV74,HPV74-L1|lcl|Human,74,alpha,10,alphapapillomavirus_10,alpha_HPV74,alpha,21,1
231,pave,HPV44,HPV44-L1|lcl|Human,44,alpha,10,alphapapillomavirus_10,alpha_HPV44,alpha,21,1
232,pave,HPV41,HPV41-L1|lcl|Human,41,nu,1,nupapillomavirus_1,nu_HPV41,nu,21,1
233,pave,HPV204,HPV204-L1|lcl|Human,204,mu,NA,mupapillomavirus_NA,mu_HPV204,mu,21,1
234,pave,HPV1,HPV1-L1|lcl|Human,1,mu,1,mupapillomavirus_1,mu_HPV1,mu,21,1
235,pave,HPV63,HPV63-L1|lcl|Human,63,mu,2,mupapillomavirus_2,mu_HPV63,mu,21,1
236,pave,HPV226,HPV226-L1|lcl|Human,226,gamma,NA,gammapapillomavirus_NA,gamma_HPV226,gamma,21,1
237,pave,HPV101,HPV101-L1|lcl|Human,101,gamma,6,gammapapillomavirus_6,gamma_HPV101,gamma,21,1
238,pave,HPV214,HPV214-L1|lcl|Human,214,gamma,NA,gammapapillomavirus_NA,gamma_HPV214,gamma,21,1
239,pave,HPV108,HPV108-L1|lcl|Human,108,gamma,6,gammapapillomavirus_6,gamma_HPV108,gamma,21,1
240,pave,HPV103,HPV103-L1|lcl|Human,103,gamma,6,gammapapillomavirus_6,gamma_HPV103,gamma,21,1
241,pave,HPV203,HPV203-L1|lcl|Human,203,gamma,NA,gammapapillomavirus_NA,gamma_HPV203,gamma,21,1
242,pave,HPV134,HPV134-L1|lcl|Human,134,gamma,7,gammapapillomavirus_7,gamma_HPV134,gamma,21,1
243,pave,HPV109,HPV109-L1|lcl|Human,109,gamma,7,gammapapillomavirus_7,gamma_HPV109,gamma,21,1
244,pave,HPV170,HPV170-L1|lcl|Human,170,gamma,7,gammapapillomavirus_7,gamma_HPV170,gamma,21,1
245,pave,HPV225,HPV225-L1|lcl|Human,225,gamma,NA,gammapapillomavirus_NA,gamma_HPV225,gamma,21,1
246,pave,HPV123,HPV123-L1|lcl|Human,123,gamma,7,gammapapillomavirus_7,gamma_HPV123,gamma,21,1
247,pave,HPV186,HPV186-L1|lcl|Human,186,gamma,7,gammapapillomavirus_7,gamma_HPV186,gamma,21,1
248,pave,HPV155,HPV155-L1|lcl|Human,155,gamma,7,gammapapillomavirus_7,gamma_HPV155,gamma,21,1
249,pave,HPV193,HPV193-L1|lcl|Human,193,gamma,7,gammapapillomavirus_7,gamma_HPV193,gamma,21,1
250,pave,HPV149,HPV149-L1|lcl|Human,149,gamma,7,gammapapillomavirus_7,gamma_HPV149,gamma,21,1
251,pave,HPV189,HPV189-L1|lcl|Human,189,gamma,7,gammapapillomavirus_7,gamma_HPV189,gamma,21,1
252,pave,HPV139,HPV139-L1|lcl|Human,139,gamma,7,gammapapillomavirus_7,gamma_HPV139,gamma,21,1
253,pave,HPV138,HPV138-L1|lcl|Human,138,gamma,7,gammapapillomavirus_7,gamma_HPV138,gamma,21,1